id	category_id	description_en	author	from
CHALLENGE_1	VERSION_1_0	Do 5 animal impressions and name them as you go!		
CHALLENGE_2	VERSION_1_0	Act like you're being electrocuted whilst trying to count to 10!		
CHALLENGE_3	VERSION_1_0	Angrily shout something really nice!		
CHALLENGE_4	VERSION_1_0	Come up with an idea for a horror movie about angry ducks and name it!		
CHALLENGE_5	VERSION_1_0	Count to 10 saying the words 'help me' between every number!		
CHALLENGE_6	VERSION_1_0	Crawl between my legs!		
CHALLENGE_7	VERSION_1_0	Create the letters C, A and T with your body!		
CHALLENGE_8	VERSION_1_0	Cry like a baby and then laugh like a mad scientist!		
CHALLENGE_9	VERSION_1_0	Do 5 squats and make an eagle noise with each one!		
CHALLENGE_10	VERSION_1_0	Do impressions of a whale, a dolphin and a seal!		
CHALLENGE_11	VERSION_1_0	Give yourself a new superhero name and describe your powers!		
CHALLENGE_12	VERSION_1_0	Hold your tongue and introduce yourself!		
CHALLENGE_13	VERSION_1_0	Invent 3 flavours of ice cream that wouldn't taste good!		
CHALLENGE_14	VERSION_1_0	Invent a superhero with a useless power and name them!		
CHALLENGE_15	VERSION_1_0	Make a noise you probably wouldn't make in public!		
CHALLENGE_16	VERSION_1_0	Make the highest-pitched noise you can!		
CHALLENGE_17	VERSION_1_0	Make the letter S with your lips!		
CHALLENGE_18	VERSION_1_0	Name 5 things you'd hate to have on your face!		
CHALLENGE_19	VERSION_1_0	Poke yourself in the forehead 30 times!		
CHALLENGE_20	VERSION_1_0	Pretend to take 5 selfies using 5 different poses!		
CHALLENGE_21	VERSION_1_0	Pretend you just stepped in quicksand!		
CHALLENGE_22	VERSION_1_0	Pretend you're a dog answering a phone, who gets terrible news!		
CHALLENGE_23	VERSION_1_0	Pretend you're asleep, but your body's dancing!		
CHALLENGE_24	VERSION_1_0	Pretend your knees are stuck together and skip in a circle!		
CHALLENGE_25	VERSION_1_0	Raise your eyebrows up and down 10 times while screaming!		
CHALLENGE_26	VERSION_1_0	Say something incredibly sad while grinning!		
CHALLENGE_27	VERSION_1_0	Say something really upsetting while doing jazz hands!		
CHALLENGE_28	VERSION_1_0	Say something you've done recently that you feel guilty about!		
CHALLENGE_29	VERSION_1_0	Say the most random sentence you can come up with!		
CHALLENGE_30	VERSION_1_0	Stretch as tall as you can and then curl up as small as you can 3 times!		
CHALLENGE_31	VERSION_1_0	Suggest an animal part to be surgically attached to you and explain why!		
CHALLENGE_32	VERSION_1_0	Continuously rub your eyebrows from the outside of your face in!		
CHALLENGE_33	VERSION_1_0	Explain the word six without saying it!		
CHALLENGE_34	VERSION_1_0	Make a 7 second fan fiction!		
CHALLENGE_35	VERSION_1_0	Make up a chorus for a country and western song!		
CHALLENGE_36	VERSION_1_0	Make up a rap about pigeons!		
CHALLENGE_37	VERSION_1_0	Make up a rap about scissors!		
CHALLENGE_38	VERSION_1_0	Make up a rap about space!		
CHALLENGE_39	VERSION_1_0	Make up a tongue twister about tomatoes!		
CHALLENGE_40	VERSION_1_0	Name 3 objects where each object can fit inside the next!		
CHALLENGE_41	VERSION_1_0	Rap your favourite Britney Spears song!		
CHALLENGE_42	VERSION_1_0	Recite a poem about a curious lobster!		
CHALLENGE_43	VERSION_1_0	Recite a poem about a disappointing milkshake!		
CHALLENGE_44	VERSION_1_0	Recite a poem about a sad shark!		
CHALLENGE_45	VERSION_1_0	Recite a poem about bees!		
CHALLENGE_46	VERSION_1_0	Say your full name backwards!		
CHALLENGE_47	VERSION_1_0	Sing a nursery rhyme about 2 pieces of cutlery!		
CHALLENGE_48	VERSION_1_0	Sing a power ballad about dust!		
CHALLENGE_49	VERSION_1_0	Sing a reggae song about cheese!		
CHALLENGE_50	VERSION_1_0	Sing a song about bread!		
CHALLENGE_51	VERSION_1_0	Sing a song about bricks!		
CHALLENGE_52	VERSION_1_0	Sing a song about lizards!		
CHALLENGE_53	VERSION_1_0	Sing a theme tune for yourself!		
CHALLENGE_54	VERSION_1_0	Sing your favourite song horribly out of tune!		
CHALLENGE_55	VERSION_1_0	Sing your favourite song like an opera star!		
CHALLENGE_56	VERSION_1_0	Describe the year 2700 whilst doing push ups!		
CHALLENGE_57	VERSION_1_0	Describe your home country in a German accent!		
CHALLENGE_58	VERSION_1_0	Describe a cloud without using the words rain or sky!		
CHALLENGE_59	VERSION_1_0	Dance like a slug would if it had legs!		
CHALLENGE_60	VERSION_1_0	Act out an argument between a shark and a scuba diver that results in them falling in love!		
CHALLENGE_61	VERSION_1_0	Do 3 tricks on an imaginary skateboard!		
CHALLENGE_62	VERSION_1_0	Invent a new product describe it and name it!		
CHALLENGE_63	VERSION_1_0	Calculate how many legs 2 and a half spiders would have!		
CHALLENGE_64	VERSION_1_0	Roll on the floor with your arms and legs pressed together!		
CHALLENGE_65	VERSION_1_0	Act out your signature football goal celebration!		
CHALLENGE_66	VERSION_1_0	Admit what music you used to listen to, that you're embarrassed about now!		
CHALLENGE_67	VERSION_1_0	Bark like a dog the chorus of Twinkle Twinkle Little Star!		
CHALLENGE_68	VERSION_1_0	Be a T-rex with tiny arms attempting to take a selfie!		
CHALLENGE_69	VERSION_1_0	Beatbox while singing about bad weather!		
CHALLENGE_70	VERSION_1_0	Blink your eyes 30 times!		
CHALLENGE_71	VERSION_1_0	Blow a kiss, then catch it, then throw it on the floor and stamp on it!		
CHALLENGE_72	VERSION_1_0	Blow one continuous raspberry for 7 seconds!		
CHALLENGE_73	VERSION_1_0	Breath out of your nose 10 times!		
CHALLENGE_74	VERSION_1_0	Calculate how many seconds are in 7 minutes!		
CHALLENGE_75	VERSION_1_0	Clap 10 times with your feet!		
CHALLENGE_76	VERSION_1_0	Clap 50 times!		
CHALLENGE_77	VERSION_1_0	Clap your hands under each leg 5 times!		
CHALLENGE_78	VERSION_1_0	Combine 2 animals to make a new animal and name it!		
CHALLENGE_79	VERSION_1_0	Combine 2 celebrities and give it a new name!		
CHALLENGE_80	VERSION_1_0	Combine 2 sports to make a new sport and explain it!		
CHALLENGE_81	VERSION_1_0	Compliment the challenger in 3 different accents!		
CHALLENGE_82	VERSION_1_0	Convince me to buy an item of clothing you're wearing!		
CHALLENGE_83	VERSION_1_0	Count backwards from 30 out loud!		
CHALLENGE_84	VERSION_1_0	Count to 7 in another language!		
CHALLENGE_85	VERSION_1_0	Dance like one of your parents!		
CHALLENGE_86	VERSION_1_0	Deliver your best pick-up line!		
CHALLENGE_87	VERSION_1_0	Demonstrate a new yoga move and give it a name!		
CHALLENGE_88	VERSION_1_0	Describe a conspiracy theory about where babies really come from!		
CHALLENGE_89	VERSION_1_0	Describe a fashionable outfit from the year 5000!		
CHALLENGE_90	VERSION_1_0	Describe a jellyfish without using the word 'jelly'!		
CHALLENGE_91	VERSION_1_0	Describe an animal you're afraid of in an Australian accent!		
CHALLENGE_92	VERSION_1_0	Describe and name your ultimate sandwich!		
CHALLENGE_93	VERSION_1_0	Describe how your morning was, with the voice of a duck!		
CHALLENGE_94	VERSION_1_0	Describe one of the people near you right now!		
CHALLENGE_95	VERSION_1_0	Describe the plot of your favourite movie then name it!		
CHALLENGE_96	VERSION_1_0	Describe the word 'fluffy' without saying it!		
CHALLENGE_97	VERSION_1_0	Describe your ideal hamburger!		
CHALLENGE_98	VERSION_1_0	Do 5 jumps with a 360 spin!		
CHALLENGE_99	VERSION_1_0	Do an impression of 3 animal mating calls and name the animals!		
CHALLENGE_100	VERSION_1_0	Do an impression of 3 YouTubers!		
CHALLENGE_101	VERSION_1_0	Do an impression of a dial-up modem!		
CHALLENGE_102	VERSION_1_0	Do an impression of a President or Prime Minister!		
CHALLENGE_103	VERSION_1_0	Do an impression of a sad hamster!		
CHALLENGE_104	VERSION_1_0	Do an impression of popcorn popping!		
CHALLENGE_105	VERSION_1_0	Do an interpretive dance about childbirth!		
CHALLENGE_106	VERSION_1_0	Do the 3 times table backwards starting at 30!		
CHALLENGE_107	VERSION_1_0	Do the 5 times table backwards starting from 50!		
CHALLENGE_108	VERSION_1_0	Do the robot as if you're an octopus!		
CHALLENGE_109	VERSION_1_0	Do the robot like a robot with a rust problem!		
CHALLENGE_110	VERSION_1_0	Show 3 tricks you'd teach a dog!		
CHALLENGE_111	VERSION_1_0	Do your best evil laugh for 7 seconds!		
CHALLENGE_112	VERSION_1_0	Do your best impression of Tarzan!		
CHALLENGE_113	VERSION_1_0	Do your party trick!		
CHALLENGE_114	VERSION_1_0	Eat a huge invisible plate of spaghetti!		
CHALLENGE_115	VERSION_1_0	Explain fire without saying the words 'fire', 'hot' or 'burn'!		
CHALLENGE_116	VERSION_1_0	Explain how the internet works!		
CHALLENGE_117	VERSION_1_0	Explain how the world is going to end!		
CHALLENGE_118	VERSION_1_0	Explain how you would preferably like the universe to end!		
CHALLENGE_119	VERSION_1_0	Explain the concept of gravity!		
CHALLENGE_120	VERSION_1_0	Explain the opposite of your greatest fear!		
CHALLENGE_121	VERSION_1_0	Explain the secret, horrifying truth about nipples!		
CHALLENGE_122	VERSION_1_0	Explain water without saying the words water, 'liquid' or 'drink'!		
CHALLENGE_123	VERSION_1_0	Explain what a rainbow is without using the word 'colour'!		
CHALLENGE_124	VERSION_1_0	Explain which body part you would enlarge by 500% if you had to!		
CHALLENGE_125	VERSION_1_0	Explain your earliest memory!		
CHALLENGE_126	VERSION_1_0	Explain your last dream using the voice of The Queen!		
CHALLENGE_127	VERSION_1_0	Explain what swimming is without saying the word 'water'!		
CHALLENGE_128	VERSION_1_0	Express the emotions of fear, sadness and love using only your eyes!		
CHALLENGE_129	VERSION_1_0	Give a name to all of your fingers!		
CHALLENGE_130	VERSION_1_0	Give a speech after accepting the award for 'worst hairstyle'!		
CHALLENGE_131	VERSION_1_0	Give a speech as if you've just won an Oscar!		
CHALLENGE_132	VERSION_1_0	Give a speech as if you were just voted the President of Pizza!		
CHALLENGE_133	VERSION_1_0	Give an excuse for not doing your homework involving a 'spork'!		
CHALLENGE_134	VERSION_1_0	Give an inspirational speech about sand!		
CHALLENGE_135	VERSION_1_0	Give yourself a new name and explain why you chose it!		
CHALLENGE_136	VERSION_1_0	Give yourself a quick new hairstyle and name it!		
CHALLENGE_137	VERSION_1_0	Have a sword fight with your arms as enemies!		
CHALLENGE_138	VERSION_1_0	Beat me in a thumb war!		
CHALLENGE_139	VERSION_1_0	Hold a note for 7 seconds without it changing!		
CHALLENGE_140	VERSION_1_0	Hold your breath and stare intensely without laughing!		
CHALLENGE_141	VERSION_1_0	Hold your tongue and say 'cheesy chips' 5 times!		
CHALLENGE_142	VERSION_1_0	If you could give birth to any object and keep it afterwards what would it be!		
CHALLENGE_143	VERSION_1_0	Imitate then name your 3 favourite emojis!		
CHALLENGE_144	VERSION_1_0	Introduce everyone to your invisible unicorn and take it for a ride!		
CHALLENGE_145	VERSION_1_0	Invent 3 new football rules to make the game more fun!		
CHALLENGE_146	VERSION_1_0	Invent a 7 second challenge then do it!		
CHALLENGE_147	VERSION_1_0	Invent a catchphrase for a TV character who farts at inappropriate moments!		
CHALLENGE_148	VERSION_1_0	Invent a cheerleader routine and chant about someone else who is with you!		
CHALLENGE_149	VERSION_1_0	Invent a funny walk and name it!		
CHALLENGE_150	VERSION_1_0	Invent a new art form and demonstrate an example of it!		
CHALLENGE_151	VERSION_1_0	Invent a new extreme sport involving cheese!		
CHALLENGE_152	VERSION_1_0	Invent a new olympic sport involving the internet!		
CHALLENGE_153	VERSION_1_0	Invent a pizza with 3 disgusting toppings and give it a name!		
CHALLENGE_154	VERSION_1_0	Invent a secret handshake and demonstrate it!		
CHALLENGE_155	VERSION_1_0	Invent a sport involving geese and describe it!		
CHALLENGE_156	VERSION_1_0	Invent a tribal dance designed to make it rain frogs!		
CHALLENGE_157	VERSION_1_0	Invent a word that doesn’t exist and define it!		
CHALLENGE_158	VERSION_1_0	Invent and perform a new dance move then name it!		
CHALLENGE_159	VERSION_1_0	Invent 3 new features for an ultimate office chair!		
CHALLENGE_160	VERSION_1_0	Jump 10 times!		
CHALLENGE_161	VERSION_1_0	Laugh for 7 seconds while pulling a straight face!		
CHALLENGE_162	VERSION_1_0	Lick both of your elbows!		
CHALLENGE_163	VERSION_1_0	List 3 jobs you'd rather cry for hours than do!		
CHALLENGE_164	VERSION_1_0	List the planets in the Milky Way, from the Sun outwards!		
CHALLENGE_165	VERSION_1_0	Make 3 bird-related noises!		
CHALLENGE_166	VERSION_1_0	Make 5 noises you'd do while watching fireworks!		
CHALLENGE_167	VERSION_1_0	Make 5 really annoying noises!		
CHALLENGE_168	VERSION_1_0	Make a convincing argument that 2 + 2 = 5!		
CHALLENGE_169	VERSION_1_0	Make a dating profile description for a pig with humanoid qualities!		
CHALLENGE_170	VERSION_1_0	Make a dragon with your fingers!		
CHALLENGE_171	VERSION_1_0	Make letters out of your fingers to spell your name!		
CHALLENGE_172	VERSION_1_0	Make the deepest sound you can!		
CHALLENGE_173	VERSION_1_0	Make the person reading this challenge laugh!		
CHALLENGE_174	VERSION_1_0	Make the sound of 5 farmyard animals!		
CHALLENGE_175	VERSION_1_0	Make 3 angry animal noises!		
CHALLENGE_176	VERSION_1_0	Make up a 3 lies about yourself!		
CHALLENGE_177	VERSION_1_0	Meow the tune of Baa Baa Black Sheep!		
CHALLENGE_178	VERSION_1_0	Move like a starfish running away from a stingray!		
CHALLENGE_179	VERSION_1_0	Name 3 animals that have whiskers apart from cats!		
CHALLENGE_180	VERSION_1_0	Name 3 celebrities in 3 different accents!		
CHALLENGE_181	VERSION_1_0	Name 3 countries that start with 'I'!		
CHALLENGE_182	VERSION_1_0	Name 3 emotions while doing the opposite of them with your face!		
CHALLENGE_183	VERSION_1_0	Name 3 famous artists!		
CHALLENGE_184	VERSION_1_0	Name 3 films with sequels!		
CHALLENGE_185	VERSION_1_0	Name 3 cheesy dog names!		
CHALLENGE_186	VERSION_1_0	Name 3 things in your room that begin with the letter T!		
CHALLENGE_187	VERSION_1_0	Name 3 things that you would delete from the universe!		
CHALLENGE_188	VERSION_1_0	Name 3 things you would buy if you won the lottery!		
CHALLENGE_189	VERSION_1_0	Name 3 things you'd find in a volcano!		
CHALLENGE_190	VERSION_1_0	Name 3 TV shows you have never watched!		
CHALLENGE_191	VERSION_1_0	Name 3 ways to make school/work more exciting!		
CHALLENGE_192	VERSION_1_0	Name 4 websites we'd find in your web history!		
CHALLENGE_193	VERSION_1_0	Name 5 animals you wouldn't find in a Zoo!		
CHALLENGE_194	VERSION_1_0	Name 5 apps on your phone!		
CHALLENGE_195	VERSION_1_0	Name 5 capital cities!		
CHALLENGE_196	VERSION_1_0	Name 5 different school subjects and say each one in a lower pitch than the last!		
CHALLENGE_197	VERSION_1_0	Name 5 movies!		
CHALLENGE_198	VERSION_1_0	Name 5 Simpsons characters!		
CHALLENGE_199	VERSION_1_0	Name 5 things that are under your bed!		
CHALLENGE_200	VERSION_1_0	Name 5 things you could not fit in your fridge!		
CHALLENGE_201	VERSION_1_0	Name 5 things you would find in the stomach of a shark!		
CHALLENGE_202	VERSION_1_0	Name 5 things you would NOT find on a farmyard!		
CHALLENGE_203	VERSION_1_0	Name 5 things you would NOT find in the kitchen!		
CHALLENGE_204	VERSION_1_0	Name 5 things you would NOT find in your bedroom!		
CHALLENGE_205	VERSION_1_0	Name 5 things you would NOT find in your mum's bedside drawer!		
CHALLENGE_206	VERSION_1_0	Name 5 things you would NOT find on a human face!		
CHALLENGE_207	VERSION_1_0	Name 5 things you would NOT find under the sea!		
CHALLENGE_208	VERSION_1_0	Name 5 things you would NOT find under your bed!		
CHALLENGE_209	VERSION_1_0	Name 5 things you'd find at the bottom of an old lady's handbag!		
CHALLENGE_210	VERSION_1_0	Name 7 body parts!		
CHALLENGE_211	VERSION_1_0	Name 7 different colours!		
CHALLENGE_212	VERSION_1_0	Name 7 things on a human face!		
CHALLENGE_213	VERSION_1_0	Name 7 things that are in your bedroom!		
CHALLENGE_214	VERSION_1_0	Name 7 types of fruit!		
CHALLENGE_215	VERSION_1_0	Name a song that begins with 'S' and hum it!		
CHALLENGE_216	VERSION_1_0	Name an item you've lost, and you still don't know where it is!		
CHALLENGE_217	VERSION_1_0	Name and do an example of 5 different emotions!		
CHALLENGE_218	VERSION_1_0	Name and do impressions of 3 TV characters!		
CHALLENGE_219	VERSION_1_0	Name and then express 3 different emotions using only your arms!		
CHALLENGE_220	VERSION_1_0	Name 5 animals that begin with the letter A!		
CHALLENGE_221	VERSION_1_0	Name 5 foods beginning with the letter L!		
CHALLENGE_222	VERSION_1_0	Name 5 things that would be a bad idea to eat!		
CHALLENGE_223	VERSION_1_0	Name 5 things you'd find in a hospital!		
CHALLENGE_224	VERSION_1_0	Name the 7 colours of the rainbow!		
CHALLENGE_225	VERSION_1_0	Name 3 animals where the first eats the second and the second eats the third!		
CHALLENGE_226	VERSION_1_0	Name 3 foods you find delicious, that would be horrible to put on toast!		
CHALLENGE_227	VERSION_1_0	Name 3 kinds of natural disaster!		
CHALLENGE_228	VERSION_1_0	Name 3 people you wouldn't want to be trapped in a room with!		
CHALLENGE_229	VERSION_1_0	Name 3 things you'd add to your house if money was no object!		
CHALLENGE_230	VERSION_1_0	Name 3 things you'd happily blow up with dynamite!		
CHALLENGE_231	VERSION_1_0	Name 2 extinct animals!		
CHALLENGE_232	VERSION_1_0	Name your weapon of choice in a zombie apocalypse and explain why it's helpful!		
CHALLENGE_233	VERSION_1_0	Pick up 3 objects that are all different colours!		
CHALLENGE_234	VERSION_1_0	Pitch a business idea that will definitely make you a millionaire!		
